event_time,ifo,peak_time,peak_time_ns,start_time,start_time_ns,duration,search,process_id,event_id,peak_frequency,central_freq,bandwidth,channel,amplitude,snr,confidence,chisq,chisq_dof,param_one_name,param_one_value,gravityspy_id,label,sample_type,url1,url2,url3,url4
1134216192.93164,L1,1134216192,931639909,1134216192,832031011,0.1875,Omicron,0,21,1337.6953125,1120.04321289062,573.363952636719,GDS-CALIB_STRAIN,1.19765001470173e-22,7.511390209198,0,0,0,phase,-2.72902,zmIdpucyOG,Whistle,train,https://panoptes-uploads.zooniverse.org/production/subject_location/e0a29b6e-30da-4b83-a823-d84262e5f32b.png,https://panoptes-uploads.zooniverse.org/production/subject_location/ccf7f147-a727-46e6-95ec-65f3c7b619f8.png,https://panoptes-uploads.zooniverse.org/production/subject_location/1a3a0247-6b62-4f64-884f-387348c0557f.png,https://panoptes-uploads.zooniverse.org/production/subject_location/0ffb52cb-ad48-4ae9-b120-a8aa5aa3d77b.png
1129359781.55859,L1,1129359781,558593034,1129359781,47851085,0.942380011081696,Omicron,0,107,654.747680664062,1823.07336425781,3426.57641601562,GDS-CALIB_STRAIN,8.25585030931691e-23,9.63012981414795,0,0,0,phase,1.10682,zWFRqqDxwv,Whistle,test,https://panoptes-uploads.zooniverse.org/production/subject_location/e90b09ed-72ed-499b-9588-df4d4d92f5ab.png,https://panoptes-uploads.zooniverse.org/production/subject_location/513f375d-8bf8-4002-8b20-92ecd893d3b8.png,https://panoptes-uploads.zooniverse.org/production/subject_location/54776357-0621-4fb0-aa80-c6216b8f5932.png,https://panoptes-uploads.zooniverse.org/production/subject_location/9c98a4a7-f15b-4c5e-aa3a-57c927843221.png
1127425468.97632,L1,1127425468,976317882,1127425468,960937023,0.0468799993395805,Omicron,0,218,1337.82751464844,2024.17749023438,3778.70190429688,GDS-CALIB_STRAIN,9.76293953378937e-22,15.3710403442383,0,0,0,phase,-0.83099,zKCTakFVcf,Whistle,train,https://panoptes-uploads.zooniverse.org/production/subject_location/8f7ae146-389d-4001-96eb-faf667835960.png,https://panoptes-uploads.zooniverse.org/production/subject_location/6c715e2c-a6a8-486a-ae36-62b27add1491.png,https://panoptes-uploads.zooniverse.org/production/subject_location/9add30cb-2437-4ab4-a6cd-e1d12d218446.png,https://panoptes-uploads.zooniverse.org/production/subject_location/b150446c-edf9-455d-81b4-b6247c460aad.png
1132636755.36523,L1,1132636755,365233898,1132636754,951172113,0.82422000169754,Omicron,0,88,1182.974609375,3981.77465820312,7492.7177734375,GDS-CALIB_STRAIN,1.46211998768927e-22,10.3211603164673,0,0,0,phase,0.76242,z14BdoiFZS,Whistle,validation,https://panoptes-uploads.zooniverse.org/production/subject_location/fa00b481-5acc-476b-8c1f-7924eabfa658.png,https://panoptes-uploads.zooniverse.org/production/subject_location/eac6e900-e928-4cfb-9a51-584336844675.png,https://panoptes-uploads.zooniverse.org/production/subject_location/b6a66b70-e72d-403a-977a-dcf65bcbecc0.png,https://panoptes-uploads.zooniverse.org/production/subject_location/9a8ddb1f-d956-4c02-878a-0488e9fac350.png
1132035853.19726,L1,1132035853,197264909,1132035852,933837890,2.00365996360779,Omicron,0,16,1456.51135253906,3979.02685546875,7942.912109375,GDS-CALIB_STRAIN,4.03829989042591e-22,14.3801603317261,0,0,0,phase,-0.31161,yyjqLCtAmO,Whistle,validation,https://panoptes-uploads.zooniverse.org/production/subject_location/3865433c-b459-4b78-93a9-49373fbec058.png,https://panoptes-uploads.zooniverse.org/production/subject_location/415085b4-c18e-4e81-a955-6f068ddbf49b.png,https://panoptes-uploads.zooniverse.org/production/subject_location/fcffccbd-7592-4b31-b547-b47f077f578a.png,https://panoptes-uploads.zooniverse.org/production/subject_location/20bfe7c9-b035-4c91-8225-daa318a51e4c.png
1163421591.62109,H1,1163421591,621093034,1163421591,492187023,0.382809996604919,OMICRON,0,228,1085.830078125,4351.9912109375,7196.9833984375,GDS-CALIB_STRAIN,2.34405007141954e-22,8.48089027404785,0,0,0,phase,1.56686,tsUHxRhgQU,1080Lines,train,https://panoptes-uploads.zooniverse.org/production/subject_location/bb55bf10-1101-4e78-b48b-74fa90de2dd2.png,https://panoptes-uploads.zooniverse.org/production/subject_location/79847ea0-8c93-43c1-b39b-808d795d1d6d.png,https://panoptes-uploads.zooniverse.org/production/subject_location/280e041c-4397-4f37-a7d3-c459bf9d815d.png,https://panoptes-uploads.zooniverse.org/production/subject_location/af60d1ec-5b91-4466-8485-276e0b1c45c9.png
1135086850.42725,L1,1135086850,427246093,1135086850,310547113,0.703119993209839,Omicron,0,78,823.18359375,2520.08911132812,4840.52294921875,GDS-CALIB_STRAIN,9.51388024257524e-23,9.27381038665771,0,0,0,phase,0.50844,yZPB2Lkecd,Whistle,validation,https://panoptes-uploads.zooniverse.org/production/subject_location/f804eac0-335d-41db-b840-12539f4aeffc.png,https://panoptes-uploads.zooniverse.org/production/subject_location/486170b1-2250-48cd-8bd5-398f8ca6d829.png,https://panoptes-uploads.zooniverse.org/production/subject_location/65fe0174-de6c-4ed0-a176-e2e7bf43abd0.png,https://panoptes-uploads.zooniverse.org/production/subject_location/e3e7e1ab-4971-412e-bd36-d1643dccbd65.png
1136285262.92969,L1,1136285262,929687023,1136285262,976085,1.62012004852295,Omicron,0,0,455.239349365234,1399.96325683594,2076.89477539062,GDS-CALIB_STRAIN,8.80104975139943e-23,12.6289196014404,0,0,0,phase,0.01421,yKsXudIzbX,Whistle,train,https://panoptes-uploads.zooniverse.org/production/subject_location/9b75a42b-9e69-47b1-a256-1ad696592a59.png,https://panoptes-uploads.zooniverse.org/production/subject_location/9a56a1d6-c815-4078-a253-74454f5527de.png,https://panoptes-uploads.zooniverse.org/production/subject_location/67a2cf48-f67b-45b9-8270-6526868dc323.png,https://panoptes-uploads.zooniverse.org/production/subject_location/95861831-1807-475e-a69d-aa926bc7e0ff.png
1132651216.95508,L1,1132651216,955077886,1132651216,0,1.24512004852295,Omicron,0,92,1252.02551269531,3576.06005859375,7143.599609375,GDS-CALIB_STRAIN,1.49291004923539e-22,9.83644962310791,0,0,0,phase,1.13611,xo7m4GKIOx,Whistle,train,https://panoptes-uploads.zooniverse.org/production/subject_location/bfbe8355-1c69-45c4-842c-887a731320db.png,https://panoptes-uploads.zooniverse.org/production/subject_location/5574d218-c353-45ca-9db5-5815f00fd0d8.png,https://panoptes-uploads.zooniverse.org/production/subject_location/eb3075f4-1cca-4f2c-b356-2aeda3b08863.png,https://panoptes-uploads.zooniverse.org/production/subject_location/2b378f1a-f312-424f-b492-942bb963a71e.png
1132637476.67773,L1,1132637476,677733898,1132637476,342772960,0.743170022964478,Omicron,0,84,1121.6875,4356.92333984375,6742.419921875,GDS-CALIB_STRAIN,1.23429001628548e-22,8.64416980743408,0,0,0,phase,-1.97719,xmxiRoeHxh,Whistle,test,https://panoptes-uploads.zooniverse.org/production/subject_location/bd6aa5a1-5139-4c90-93b6-0f3399bd5246.png,https://panoptes-uploads.zooniverse.org/production/subject_location/f012921a-511d-468e-ba18-b91ececea550.png,https://panoptes-uploads.zooniverse.org/production/subject_location/6aff6ac1-3a95-4348-a9a3-6e360009d060.png,https://panoptes-uploads.zooniverse.org/production/subject_location/2ae41f22-86d9-4f44-9518-fc63e94e75f9.png
